_id,address,baths,beds,cost,sq_ft,data_type,city,zip,source,lat,lon
5e1509d2708b1eed4f3b9a42, 10819 crown colony dr  #8,3.0,2.0,220000.0,1207.0,Residential,Austin,78747,austin_realty,30.14143439999999,-97.7946235
5e1509d2708b1eed4f3b9a43, 6917 old post loop,2.0,3.0,189900.0,1514.0,Residential,Austin,78744,austin_realty,30.177877000000002,-97.75428800000002
5e1509d2708b1eed4f3b9a44, 1830 river crossing cir  #d,3.0,2.0,182500.0,1059.0,Residential,Austin,78741,austin_realty,30.23054999999999,-97.7136031
5e1509d2708b1eed4f3b9a45, 4509 secure ln  #41,1.0,2.0,160000.0,800.0,Residential,Austin,78725,austin_realty,30.236015500000004,-97.57043990000001
5e1509d2708b1eed4f3b9a46, 12166 metric blvd  #3016,1.0,1.0,132000.0,727.0,Residential,Austin,78758,austin_realty,30.406657199999998,-97.6976915
5e1509d2708b1eed4f3b9a47, 8212 barton club dr  #14-2,4.0,3.0,30000.0,2600.0,Residential,Austin,78735,austin_realty,30.289939500000003,-97.8531113
5e1509d2708b1eed4f3b9a48, 8212 barton club dr  #7-10,4.0,3.0,30000.0,2600.0,Residential,Austin,78735,austin_realty,30.291877799999998,-97.8600189
5e1509d2708b1eed4f3b9a49, 2024 wimberly ln,4.0,4.0,1100000.0,4615.0,Residential,Austin,78735,austin_realty,30.2938957,-97.87526379999998
5e1509d2708b1eed4f3b9a4a, 9640 chamois way,4.0,4.0,950000.0,3214.0,Residential,Austin,78736,austin_realty,30.2581484,-97.9119913
5e1509d2708b1eed4f3b9a4b, 1409 alameda dr,2.0,3.0,925000.0,2213.0,Residential,Austin,78704,austin_realty,30.247462199999998,-97.7422326
5e1509d2708b1eed4f3b9a4c, 5700 raindrop cv,4.0,3.0,899900.0,3202.0,Residential,Austin,78759,austin_realty,30.4038624,-97.7611732
5e1509d2708b1eed4f3b9a4d, 6006 mesa dr,3.0,4.0,859000.0,4169.0,Residential,Austin,78731,austin_realty,30.346626899999997,-97.77210490000002
5e1509d2708b1eed4f3b9a4e, 14021 nutty brown rd,3.0,4.0,810000.0,3147.0,Residential,Austin,78737,austin_realty,30.1726599,-97.9612041
5e1509d2708b1eed4f3b9a4f, 155 empire ct,4.0,4.0,675000.0,4036.0,Residential,Austin,78737,austin_realty,30.201262100000005,-97.9732926
5e1509d2708b1eed4f3b9a50, 10202 echoridge dr,4.0,4.0,665000.0,3323.0,Residential,Austin,78750,austin_realty,30.429946,-97.813894
5e1509d2708b1eed4f3b9a51, 800 columbus st,2.0,3.0,655000.0,1444.0,Residential,Austin,78704,austin_realty,30.2543577,-97.755135
